c,L,N,seed,transmitted,reflected,absorbed,T_frac,R_frac,A_frac,T_err,R_err,A_err
0,1,1000000,42,367632,0,632368,0.367632,0,0.632368,0.000482160464,0,0.000482160464
0,2,1000000,42,135874,0,864126,0.135874,0,0.864126,0.000342654719,0,0.000342654719
0,3,1000000,42,49744,0,950256,0.049744,0,0.950256,0.00021741558,0,0.00021741558
0,4,1000000,42,18404,0,981596,0.018404,0,0.981596,0.00013440719,0,0.00013440719
0,5,1000000,42,6619,0,993381,0.006619,0,0.993381,8.10875381e-05,0,8.10875381e-05
0.1,5,1000000,42,7360,16444,976196,0.00736,0.016444,0.976196,8.54741505e-05,0.000127175449,0.000152438084
0.2,5,1000000,42,8074,35106,956820,0.008074,0.035106,0.95682,8.94919579e-05,0.000184047735,0.000203262116
0.3,5,1000000,42,9129,57143,933728,0.009129,0.057143,0.933728,9.51086818e-05,0.000232115656,0.000248756954
0.4,5,1000000,42,10708,83254,906038,0.010708,0.083254,0.906038,0.000102923946,0.000276265762,0.000291775843
0.5,5,1000000,42,13019,115569,871412,0.013019,0.115569,0.871412,0.00011335566,0.000319707376,0.000334743374
0.6,5,1000000,42,16756,155425,827819,0.016756,0.155425,0.827819,0.000128355898,0.000362309356,0.000377537685
0.7,5,1000000,42,23375,209234,767391,0.023375,0.209234,0.767391,0.000151091394,0.000406761765,0.000422495033
0.8,5,1000000,42,37828,285155,677017,0.037828,0.285155,0.677017,0.000190780089,0.000451488235,0.000467616276
0.9,5,1000000,42,77018,413109,509873,0.077018,0.413109,0.509873,0.000266620006,0.000492392074,0.000499902514
1,5,1000000,42,261588,738412,0,0.261588,0.738412,0,0.000439499395,0.000439499395,0
0,2,100,42,15,0,85,0.15,0,0.85,0.0357071421,0,0.0357071421
0,2,1000,42,127,0,873,0.127,0,0.873,0.0105295299,0,0.0105295299
0,2,10000,42,1324,0,8676,0.1324,0,0.8676,0.00338925124,0,0.00338925124
0,2,100000,42,13494,0,86506,0.13494,0,0.86506,0.00108042212,0,0.00108042212
0,2,10000000,42,1353492,0,8646508,0.1353492,0,0.8646508,0.00010818031,0,0.00010818031
